title	revenue	budget	genres	release_date	runtime	vote_average	vote_count
Indiana Jones and the Kingdom of the Crystal Skull	786636033	185000000	[{"id": 12, "name": "Adventure"}, {"id": 28, "name": "Action"}]	2008-05-21	122	5.7	2495
The Good Dinosaur	331926147	175000000	[{"id": 12, "name": "Adventure"}, {"id": 16, "name": "Animation"}, {"id": 10751, "name": "Family"}]	2015-11-14	93	6.6	1736
Brave	538983207	185000000	[{"id": 16, "name": "Animation"}, {"id": 12, "name": "Adventure"}, {"id": 35, "name": "Comedy"}, {"id": 10751, "name": "Family"}, {"id": 28, "name": "Action"}, {"id": 14, "name": "Fantasy"}]	2012-06-21	93	6.7	4641
Star Trek Beyond	343471816	185000000	[{"id": 28, "name": "Action"}, {"id": 12, "name": "Adventure"}, {"id": 878, "name": "Science Fiction"}]	2016-07-07	122	6.6	2568
WALL·E	521311860	180000000	[{"id": 16, "name": "Animation"}, {"id": 10751, "name": "Family"}]	2008-06-22	98	7.8	6296
Rush Hour 3	258022233	140000000	[{"id": 28, "name": "Action"}, {"id": 35, "name": "Comedy"}, {"id": 80, "name": "Crime"}, {"id": 53, "name": "Thriller"}]	2007-08-08	91	6.1	783
2012	769653595	200000000	[{"id": 28, "name": "Action"}, {"id": 12, "name": "Adventure"}, {"id": 878, "name": "Science Fiction"}]	2009-10-10	158	5.6	4903
A Christmas Carol	325233863	200000000	[{"id": 16, "name": "Animation"}, {"id": 18, "name": "Drama"}]	2009-11-04	96	6.6	1095
Jupiter Ascending	183987723	176000003	[{"id": 878, "name": "Science Fiction"}, {"id": 14, "name": "Fantasy"}, {"id": 28, "name": "Action"}, {"id": 12, "name": "Adventure"}]	2015-02-04	124	5.2	2768
The Legend of Tarzan	356743061	180000000	[{"id": 28, "name": "Action"}, {"id": 12, "name": "Adventure"}]	2016-06-29	109	5.5	2430
The Chronicles of Narnia: The Lion, the Witch and the Wardrobe	748806957	180000000	[{"id": 12, "name": "Adventure"}, {"id": 10751, "name": "Family"}, {"id": 14, "name": "Fantasy"}]	2005-12-07	143	6.7	2629
X-Men: Apocalypse	543934787	178000000	[{"id": 878, "name": "Science Fiction"}]	2016-05-18	144	6.4	4721
The Dark Knight	1004558444	185000000	[{"id": 18, "name": "Drama"}, {"id": 28, "name": "Action"}, {"id": 80, "name": "Crime"}, {"id": 53, "name": "Thriller"}]	2008-07-16	152	8.2	12002
Up	735099082	175000000	[{"id": 16, "name": "Animation"}, {"id": 35, "name": "Comedy"}, {"id": 10751, "name": "Family"}, {"id": 12, "name": "Adventure"}]	2009-05-13	96	7.7	6870
Monsters vs Aliens	381509870	175000000	[{"id": 16, "name": "Animation"}, {"id": 10751, "name": "Family"}, {"id": 12, "name": "Adventure"}, {"id": 878, "name": "Science Fiction"}]	2009-03-19	94	6	1423
Iron Man	585174222	140000000	[{"id": 28, "name": "Action"}, {"id": 878, "name": "Science Fiction"}, {"id": 12, "name": "Adventure"}]	2008-04-30	126	7.4	8776
Hugo	185770160	170000000	[{"id": 12, "name": "Adventure"}, {"id": 18, "name": "Drama"}, {"id": 10751, "name": "Family"}]	2011-11-22	126	7	2141
Wild Wild West	222104681	170000000	[{"id": 28, "name": "Action"}, {"id": 12, "name": "Adventure"}, {"id": 35, "name": "Comedy"}, {"id": 878, "name": "Science Fiction"}, {"id": 37, "name": "Western"}]	1999-06-29	106	5.1	1020
The Mummy: Tomb of the Dragon Emperor	401128639	145000000	[{"id": 12, "name": "Adventure"}, {"id": 28, "name": "Action"}, {"id": 14, "name": "Fantasy"}]	2008-07-01	112	5.2	1387
Suicide Squad	745000000	175000000	[{"id": 28, "name": "Action"}, {"id": 12, "name": "Adventure"}, {"id": 80, "name": "Crime"}, {"id": 14, "name": "Fantasy"}, {"id": 878, "name": "Science Fiction"}]	2016-08-02	123	5.9	7458
Evan Almighty	173000000	175000000	[{"id": 14, "name": "Fantasy"}, {"id": 35, "name": "Comedy"}, {"id": 10751, "name": "Family"}]	2007-06-09	96	5.3	1151
Edge of Tomorrow	370541256	178000000	[{"id": 28, "name": "Action"}, {"id": 878, "name": "Science Fiction"}]	2014-05-27	113	7.6	4858
Waterworld	264218220	175000000	[{"id": 12, "name": "Adventure"}, {"id": 28, "name": "Action"}]	1995-07-28	135	5.9	992
G.I. Joe: The Rise of Cobra	302469017	175000000	[{"id": 12, "name": "Adventure"}, {"id": 28, "name": "Action"}, {"id": 53, "name": "Thriller"}, {"id": 878, "name": "Science Fiction"}]	2009-08-04	118	5.6	1962
Inside Out	857611174	175000000	[{"id": 18, "name": "Drama"}, {"id": 35, "name": "Comedy"}, {"id": 16, "name": "Animation"}, {"id": 10751, "name": "Family"}]	2015-06-09	94	8	6560
The Jungle Book	966550600	175000000	[{"id": 10751, "name": "Family"}, {"id": 12, "name": "Adventure"}, {"id": 18, "name": "Drama"}, {"id": 14, "name": "Fantasy"}]	2016-04-07	106	6.7	2892
Iron Man 2	623933331	200000000	[{"id": 12, "name": "Adventure"}, {"id": 28, "name": "Action"}, {"id": 878, "name": "Science Fiction"}]	2010-04-28	124	6.6	6849
Snow White and the Huntsman	396600000	170000000	[{"id": 12, "name": "Adventure"}, {"id": 14, "name": "Fantasy"}, {"id": 18, "name": "Drama"}]	2012-05-30	127	5.8	3118
Maleficent	758539785	180000000	[{"id": 14, "name": "Fantasy"}, {"id": 12, "name": "Adventure"}, {"id": 28, "name": "Action"}, {"id": 10751, "name": "Family"}, {"id": 10749, "name": "Romance"}]	2014-05-28	97	7	4496
Dawn of the Planet of the Apes	710644566	170000000	[{"id": 878, "name": "Science Fiction"}, {"id": 28, "name": "Action"}, {"id": 18, "name": "Drama"}, {"id": 53, "name": "Thriller"}]	2014-06-26	130	7.3	4410
The Lovers	0	27000000	[{"id": 28, "name": "Action"}, {"id": 12, "name": "Adventure"}, {"id": 878, "name": "Science Fiction"}, {"id": 10749, "name": "Romance"}]	2015-02-13	109	4.8	34
47 Ronin	150962475	175000000	[{"id": 18, "name": "Drama"}, {"id": 28, "name": "Action"}, {"id": 12, "name": "Adventure"}, {"id": 14, "name": "Fantasy"}]	2013-12-06	119	5.9	1326
Captain America: The Winter Soldier	714766572	170000000	[{"id": 28, "name": "Action"}, {"id": 12, "name": "Adventure"}, {"id": 878, "name": "Science Fiction"}]	2014-03-20	136	7.6	5764
Shrek Forever After	752600867	165000000	[{"id": 35, "name": "Comedy"}, {"id": 12, "name": "Adventure"}, {"id": 14, "name": "Fantasy"}, {"id": 16, "name": "Animation"}, {"id": 10751, "name": "Family"}]	2010-05-16	93	6	1959
Tomorrowland	209154322	190000000	[{"id": 12, "name": "Adventure"}, {"id": 10751, "name": "Family"}, {"id": 9648, "name": "Mystery"}, {"id": 878, "name": "Science Fiction"}]	2015-05-19	130	6.2	2846
Big Hero 6	652105443	165000000	[{"id": 12, "name": "Adventure"}, {"id": 10751, "name": "Family"}, {"id": 16, "name": "Animation"}, {"id": 28, "name": "Action"}, {"id": 35, "name": "Comedy"}]	2014-10-24	102	7.8	6135
Wreck-It Ralph	471222889	165000000	[{"id": 10751, "name": "Family"}, {"id": 16, "name": "Animation"}, {"id": 35, "name": "Comedy"}, {"id": 12, "name": "Adventure"}]	2012-11-01	108	7.1	4570
The Polar Express	305875730	165000000	[{"id": 12, "name": "Adventure"}, {"id": 16, "name": "Animation"}, {"id": 10751, "name": "Family"}, {"id": 14, "name": "Fantasy"}]	2004-11-10	100	6.4	1474
Independence Day: Resurgence	389681935	165000000	[{"id": 28, "name": "Action"}, {"id": 12, "name": "Adventure"}, {"id": 878, "name": "Science Fiction"}]	2016-06-22	120	4.9	2491
How to Train Your Dragon	494878759	165000000	[{"id": 14, "name": "Fantasy"}, {"id": 12, "name": "Adventure"}, {"id": 16, "name": "Animation"}, {"id": 10751, "name": "Family"}]	2010-03-05	98	7.5	4227
Terminator 3: Rise of the Machines	435000000	200000000	[{"id": 28, "name": "Action"}, {"id": 53, "name": "Thriller"}, {"id": 878, "name": "Science Fiction"}]	2003-07-02	109	5.9	2143
Guardians of the Galaxy	773328629	170000000	[{"id": 28, "name": "Action"}, {"id": 878, "name": "Science Fiction"}, {"id": 12, "name": "Adventure"}]	2014-07-30	121	7.9	9742
Interstellar	675120017	165000000	[{"id": 12, "name": "Adventure"}, {"id": 18, "name": "Drama"}, {"id": 878, "name": "Science Fiction"}]	2014-11-05	169	8.1	10867
Inception	825532764	160000000	[{"id": 28, "name": "Action"}, {"id": 53, "name": "Thriller"}, {"id": 878, "name": "Science Fiction"}, {"id": 9648, "name": "Mystery"}, {"id": 12, "name": "Adventure"}]	2010-07-14	148	8.1	13752
Shin Godzilla	77000000	15000000	[{"id": 28, "name": "Action"}, {"id": 12, "name": "Adventure"}, {"id": 18, "name": "Drama"}, {"id": 27, "name": "Horror"}, {"id": 878, "name": "Science Fiction"}]	2016-07-29	120	6.5	143
The Hobbit: An Unexpected Journey	1021103568	250000000	[{"id": 12, "name": "Adventure"}, {"id": 14, "name": "Fantasy"}, {"id": 28, "name": "Action"}]	2012-11-26	169	7	8297
The Fast and the Furious	207283925	38000000	[{"id": 28, "name": "Action"}, {"id": 80, "name": "Crime"}, {"id": 53, "name": "Thriller"}]	2001-06-22	106	6.6	3428
The Curious Case of Benjamin Button	333932083	150000000	[{"id": 14, "name": "Fantasy"}, {"id": 18, "name": "Drama"}, {"id": 53, "name": "Thriller"}, {"id": 9648, "name": "Mystery"}, {"id": 10749, "name": "Romance"}]	2008-11-24	166	7.3	3292
X-Men: First Class	353624124	160000000	[{"id": 28, "name": "Action"}, {"id": 878, "name": "Science Fiction"}, {"id": 12, "name": "Adventure"}]	2011-05-24	132	7.1	5181
The Hunger Games: Mockingjay - Part 2	653428261	160000000	[{"id": 28, "name": "Action"}, {"id": 12, "name": "Adventure"}, {"id": 878, "name": "Science Fiction"}]	2015-11-18	137	6.6	3984
The Sorcerer's Apprentice	215283742	150000000	[{"id": 14, "name": "Fantasy"}, {"id": 12, "name": "Adventure"}, {"id": 28, "name": "Action"}, {"id": 35, "name": "Comedy"}, {"id": 18, "name": "Drama"}]	2010-07-13	109	5.8	1470
Poseidon	181674817	160000000	[{"id": 12, "name": "Adventure"}, {"id": 28, "name": "Action"}, {"id": 18, "name": "Drama"}, {"id": 53, "name": "Thriller"}]	2006-05-12	99	5.5	583
Alice Through the Looking Glass	299370084	170000000	[{"id": 14, "name": "Fantasy"}]	2016-05-25	113	6.5	1725
Shrek the Third	798958165	160000000	[{"id": 14, "name": "Fantasy"}, {"id": 12, "name": "Adventure"}, {"id": 16, "name": "Animation"}, {"id": 35, "name": "Comedy"}, {"id": 10751, "name": "Family"}]	2007-05-17	93	6	2278
Warcraft	433677183	160000000	[{"id": 28, "name": "Action"}, {"id": 12, "name": "Adventure"}, {"id": 14, "name": "Fantasy"}]	2016-05-25	123	6.3	2268
Terminator Genisys	440603537	155000000	[{"id": 878, "name": "Science Fiction"}, {"id": 28, "name": "Action"}, {"id": 53, "name": "Thriller"}, {"id": 12, "name": "Adventure"}]	2015-06-23	126	5.8	3631
The Chronicles of Narnia: The Voyage of the Dawn Treader	415686217	155000000	[{"id": 12, "name": "Adventure"}, {"id": 10751, "name": "Family"}, {"id": 14, "name": "Fantasy"}]	2010-08-13	113	6.2	1514
Pearl Harbor	449220945	140000000	[{"id": 36, "name": "History"}, {"id": 10749, "name": "Romance"}, {"id": 10752, "name": "War"}]	2001-05-21	183	6.6	1791
Transformers	709709780	150000000	[{"id": 12, "name": "Adventure"}, {"id": 878, "name": "Science Fiction"}, {"id": 28, "name": "Action"}]	2007-06-27	144	6.6	4040
Alexander	167298192	155000000	[{"id": 10752, "name": "War"}, {"id": 36, "name": "History"}, {"id": 28, "name": "Action"}, {"id": 12, "name": "Adventure"}, {"id": 18, "name": "Drama"}, {"id": 10749, "name": "Romance"}]	2004-11-21	175	5.6	927
Harry Potter and the Order of the Phoenix	938212738	150000000	[{"id": 12, "name": "Adventure"}, {"id": 14, "name": "Fantasy"}, {"id": 10751, "name": "Family"}, {"id": 9648, "name": "Mystery"}]	2007-06-28	138	7.4	5494
Harry Potter and the Goblet of Fire	895921036	150000000	[{"id": 12, "name": "Adventure"}, {"id": 14, "name": "Fantasy"}, {"id": 10751, "name": "Family"}]	2005-11-05	157	7.5	5608
Hancock	624029371	150000000	[{"id": 14, "name": "Fantasy"}, {"id": 28, "name": "Action"}]	2008-07-01	92	6.2	2961
I Am Legend	585349010	150000000	[{"id": 18, "name": "Drama"}, {"id": 27, "name": "Horror"}, {"id": 28, "name": "Action"}, {"id": 53, "name": "Thriller"}, {"id": 878, "name": "Science Fiction"}]	2007-12-14	101	6.9	4853
Charlie and the Chocolate Factory	474968763	150000000	[{"id": 12, "name": "Adventure"}, {"id": 35, "name": "Comedy"}, {"id": 10751, "name": "Family"}, {"id": 14, "name": "Fantasy"}]	2005-07-13	115	6.7	3624
Ratatouille	623722818	150000000	[{"id": 16, "name": "Animation"}, {"id": 35, "name": "Comedy"}, {"id": 10751, "name": "Family"}, {"id": 14, "name": "Fantasy"}]	2007-06-22	111	7.5	4369
Batman Begins	374218673	150000000	[{"id": 28, "name": "Action"}, {"id": 80, "name": "Crime"}, {"id": 18, "name": "Drama"}]	2005-06-10	140	7.5	7359
Madagascar: Escape 2 Africa	603900354	150000000	[{"id": 10751, "name": "Family"}, {"id": 16, "name": "Animation"}]	2008-10-30	89	6.2	1810
Night at the Museum: Battle of the Smithsonian	413106170	150000000	[{"id": 12, "name": "Adventure"}, {"id": 14, "name": "Fantasy"}, {"id": 28, "name": "Action"}, {"id": 35, "name": "Comedy"}, {"id": 10751, "name": "Family"}]	2009-05-20	105	5.9	1971
X-Men Origins: Wolverine	373062864	150000000	[{"id": 12, "name": "Adventure"}, {"id": 28, "name": "Action"}, {"id": 53, "name": "Thriller"}, {"id": 878, "name": "Science Fiction"}]	2009-04-28	107	6.2	4021
The Matrix Revolutions	424988211	150000000	[{"id": 12, "name": "Adventure"}, {"id": 28, "name": "Action"}, {"id": 53, "name": "Thriller"}, {"id": 878, "name": "Science Fiction"}]	2003-11-05	129	6.4	3096
Frozen	1274219009	150000000	[{"id": 16, "name": "Animation"}, {"id": 12, "name": "Adventure"}, {"id": 10751, "name": "Family"}]	2013-11-27	102	7.3	5295
The Matrix Reloaded	738599701	150000000	[{"id": 12, "name": "Adventure"}, {"id": 28, "name": "Action"}, {"id": 53, "name": "Thriller"}, {"id": 878, "name": "Science Fiction"}]	2003-05-15	138	6.7	3443
Thor: The Dark World	644571402	170000000	[{"id": 28, "name": "Action"}, {"id": 12, "name": "Adventure"}, {"id": 14, "name": "Fantasy"}]	2013-10-29	112	6.8	4755
Mad Max: Fury Road	378858340	150000000	[{"id": 28, "name": "Action"}, {"id": 12, "name": "Adventure"}, {"id": 878, "name": "Science Fiction"}, {"id": 53, "name": "Thriller"}]	2015-05-13	120	7.2	9427
Angels & Demons	356613439	150000000	[{"id": 53, "name": "Thriller"}, {"id": 9648, "name": "Mystery"}]	2009-05-13	138	6.5	2129
Thor	449326618	150000000	[{"id": 12, "name": "Adventure"}, {"id": 14, "name": "Fantasy"}, {"id": 28, "name": "Action"}]	2011-04-21	115	6.6	6525
Bolt	309979994	150000000	[{"id": 16, "name": "Animation"}, {"id": 10751, "name": "Family"}, {"id": 12, "name": "Adventure"}, {"id": 35, "name": "Comedy"}]	2008-11-21	98	6.3	1750
G-Force	292817841	150000000	[{"id": 14, "name": "Fantasy"}, {"id": 28, "name": "Action"}, {"id": 12, "name": "Adventure"}, {"id": 10751, "name": "Family"}, {"id": 35, "name": "Comedy"}]	2009-07-21	88	5.1	510
Wrath of the Titans	301000000	150000000	[{"id": 12, "name": "Adventure"}]	2012-03-27	99	5.5	1431
Dark Shadows	245527149	150000000	[{"id": 35, "name": "Comedy"}, {"id": 14, "name": "Fantasy"}]	2012-05-08	113	5.7	2320
Mission: Impossible - Rogue Nation	682330139	150000000	[{"id": 28, "name": "Action"}, {"id": 12, "name": "Adventure"}, {"id": 53, "name": "Thriller"}]	2015-07-23	131	7.1	3224
The Wolfman	0	150000000	[{"id": 18, "name": "Drama"}, {"id": 27, "name": "Horror"}, {"id": 53, "name": "Thriller"}]	2010-02-11	102	5.5	549
Bee Movie	287594577	150000000	[{"id": 10751, "name": "Family"}, {"id": 16, "name": "Animation"}, {"id": 12, "name": "Adventure"}, {"id": 35, "name": "Comedy"}]	2007-10-28	91	5.7	1171
Kung Fu Panda 2	665692281	150000000	[{"id": 16, "name": "Animation"}, {"id": 10751, "name": "Family"}]	2011-05-25	91	6.7	1880
The Last Airbender	318502923	150000000	[{"id": 28, "name": "Action"}, {"id": 12, "name": "Adventure"}, {"id": 10751, "name": "Family"}, {"id": 14, "name": "Fantasy"}]	2010-06-30	103	4.7	1151
Mission: Impossible III	397850012	150000000	[{"id": 12, "name": "Adventure"}, {"id": 28, "name": "Action"}, {"id": 53, "name": "Thriller"}]	2006-05-03	126	6.5	2028
White House Down	205366737	150000000	[{"id": 28, "name": "Action"}, {"id": 18, "name": "Drama"}, {"id": 53, "name": "Thriller"}]	2013-06-27	131	6.4	1891
Mars Needs Moms	38992758	150000000	[{"id": 12, "name": "Adventure"}, {"id": 16, "name": "Animation"}, {"id": 10751, "name": "Family"}]	2011-03-09	88	5.5	199
Flushed Away	64459316	149000000	[{"id": 12, "name": "Adventure"}, {"id": 16, "name": "Animation"}, {"id": 35, "name": "Comedy"}, {"id": 10751, "name": "Family"}]	2006-10-22	85	6	874
Pan	128388320	150000000	[{"id": 12, "name": "Adventure"}, {"id": 10751, "name": "Family"}, {"id": 14, "name": "Fantasy"}]	2015-09-24	111	5.9	954
Mr. Peabody & Sherman	272912430	145000000	[{"id": 16, "name": "Animation"}, {"id": 12, "name": "Adventure"}, {"id": 10751, "name": "Family"}]	2014-02-07	92	6.7	843
Troy	497409852	175000000	[{"id": 12, "name": "Adventure"}, {"id": 18, "name": "Drama"}, {"id": 10752, "name": "War"}]	2004-05-13	163	6.9	2759
